0,0.0675830366587348,-1.43119612781351,-4.43587645060144,-4.67658204455109,-2.69416026535631,-10.0441079013455
3,-2.91765659539928,-4.26596133952165,-7.20396249348702,-7.40827114689341,-5.67248281177398,-13.0404880407853
6,-5.91653681892558,-6.99881860620836,-9.59186675455241,-9.75222303421576,-8.61916360523957,-15.8799374982554
9,-9.03671476938144,-9.4188606069972,-11.6256366632059,-11.6986023303822,-11.7638240066839,-18.6700358528036
12,-12.0020241714191,-11.3242169039653,-12.9133027780251,-12.8882535462733,-14.6908491456336,-21.931503719796
15,-15.0052127804984,-13.0765440944393,-14.2723103558414,-14.1926617435377,-17.6547490571248,-24.8516445816432
18,-17.9345675305422,-13.5083782472607,-14.333378512004,-14.1621265385563,-20.6923487122172,-27.9456799870185
21,-21.0628442056662,-14.6616451140761,-15.1329652922672,-14.9254467575474,-23.8727437910412,-30.9174113437602
24,-23.9186835703111,-14.8596092736543,-15.0970209968652,-14.8862823386458,-26.6149368947989,-33.8280861983429
27,-26.9613068399507,-15.1051106046143,-15.350711899227,-15.0880619931928,-29.6807137351358,-37.0685577309665
30,-29.9680770881978,-14.9795541336922,-15.1726143440512,-14.9386526953835,-32.7598792766185,-39.6484227521387
